sheet_name,scale,description,la,lo,date,timestamp
Ракети,,,46.959632,32.006337,2022-7-1,1656633600000
Ракети,,,46.959077,32.011807,2022-7-1,1656633600000
Ракети,,,46.959077,32.011807,2022-7-5,1656979200000
Ракети,,,46.959077,32.011807,2022-7-11,1657497600000
Ракети,,,46.959077,32.011807,2022-7-12,1657584000000
Ракети,,,47.40372,32.438221,2022-7-12,1657584000000
Ракети,,,46.959077,32.011807,2022-7-14,1657756800000
Ракети,,,46.959077,32.011808,2022-7-15,1657843200000
Ракети,,,46.959077,32.011809,2022-7-17,1658016000000
Ракети,,,46.959077,32.01181,2022-7-18,1658102400000
Ракети,,,47.307953,32.846669,2022-7-20,1658275200000
Ракети,,,46.959077,32.01181,2022-7-21,1658361600000
Ракети,,,46.959077,32.011811,2022-7-22,1658448000000
Ракети,,,46.959077,32.011811,2022-7-23,1658534400000
Ракети,,,46.959077,32.011812,2022-7-24,1658620800000
Ракети,,,46.959077,32.011812,2022-7-26,1658793600000
Ракети,,,46.959077,32.011812,2022-7-28,1658966400000
Касетні боєприпаси,,,46.710101,31.8806,2022-7-1,1656633600000
Касетні боєприпаси,,,46.892573,32.048909,2022-7-1,1656633600000
Касетні боєприпаси,,,46.72796,31.97235,2022-7-6,1657065600000
Касетні боєприпаси,,,46.870032,32.025611,2022-7-18,1658102400000
Касетні боєприпаси,,,46.959077,32.011812,2022-7-29,1659052800000
Артилерія та РСЗВ,,,47.186537,32.300632,2022-7-1,1656633600000
Артилерія та РСЗВ,,,47.10046,32.668365,2022-7-1,1656633600000
Артилерія та РСЗВ,,,47.290478,32.835408,2022-7-1,1656633600000
Артилерія та РСЗВ,,,47.023607,32.426633,2022-7-1,1656633600000
Артилерія та РСЗВ,,,46.72796,31.97235,2022-7-1,1656633600000
Артилерія та РСЗВ,,,46.844166,31.908865,2022-7-1,1656633600000
Артилерія та РСЗВ,,,47.123866,32.621648,2022-7-1,1656633600000
Артилерія та РСЗВ,,,47.090263,32.448873,2022-7-1,1656633600000
Артилерія та РСЗВ,,,47.168671,32.446554,2022-7-2,1656720000000
Артилерія та РСЗВ,,,47.331542,33.048818,2022-7-2,1656720000000
Артилерія та РСЗВ,,,47.198526,32.829574,2022-7-2,1656720000000
Артилерія та РСЗВ,,,46.826064,32.219268,2022-7-2,1656720000000
Артилерія та РСЗВ,,,46.86215,32.196443,2022-7-2,1656720000000
Артилерія та РСЗВ,,,46.885644,32.227655,2022-7-2,1656720000000
Артилерія та РСЗВ,,,47.023995,32.427847,2022-7-2,1656720000000
Артилерія та РСЗВ,,,46.842564,31.909975,2022-7-2,1656720000000
Артилерія та РСЗВ,,,46.808807,31.968707,2022-7-2,1656720000000
Артилерія та РСЗВ,,,47.041483,32.43914,2022-7-2,1656720000000
Артилерія та РСЗВ,,,47.041483,32.439141,2022-7-3,1656806400000
Артилерія та РСЗВ,,,47.331542,33.048818,2022-7-3,1656806400000
Артилерія та РСЗВ,,,47.307953,32.846669,2022-7-3,1656806400000
Артилерія та РСЗВ,,,47.123866,32.621648,2022-7-3,1656806400000
Артилерія та РСЗВ,,,46.63574,31.873512,2022-7-3,1656806400000
Артилерія та РСЗВ,,,47.023995,32.427847,2022-7-3,1656806400000
Артилерія та РСЗВ,,,47.109722,32.379444,2022-7-3,1656806400000
Артилерія та РСЗВ,,,47.123866,32.621648,2022-7-4,1656892800000
Артилерія та РСЗВ,,,47.123866,32.621648,2022-7-5,1656979200000
Артилерія та РСЗВ,,,47.19975,32.225665,2022-7-5,1656979200000
Артилерія та РСЗВ,,,47.198526,32.829574,2022-7-5,1656979200000
Артилерія та РСЗВ,,,46.72796,31.97235,2022-7-4,1656892800000
Артилерія та РСЗВ,,,47.123866,32.621648,2022-7-5,1656979200000
Артилерія та РСЗВ,,,47.198526,32.829574,2022-7-6,1657065600000
Артилерія та РСЗВ,,,47.023995,32.427847,2022-7-5,1656979200000
Артилерія та РСЗВ,,,46.606658,31.565892,2022-7-5,1656979200000
Артилерія та РСЗВ,,,46.659323,31.634256,2022-7-5,1656979200000
Артилерія та РСЗВ,,,47.022603,32.455243,2022-7-5,1656979200000
Артилерія та РСЗВ,,,46.942736,31.552642,2022-7-6,1657065600000
Артилерія та РСЗВ,,,46.870032,32.025611,2022-7-6,1657065600000
Артилерія та РСЗВ,,,47.123866,32.621648,2022-7-6,1657065600000
Артилерія та РСЗВ,,,47.198526,32.829574,2022-7-6,1657065600000
Артилерія та РСЗВ,,,47.198526,32.829574,2022-7-5,1656979200000
Артилерія та РСЗВ,,,46.966356,32.359167,2022-7-6,1657065600000
Артилерія та РСЗВ,,,47.090263,32.448873,2022-7-6,1657065600000
Артилерія та РСЗВ,,,47.04128,32.438662,2022-7-6,1657065600000
Артилерія та РСЗВ,,,46.86215,32.196443,2022-7-6,1657065600000
Артилерія та РСЗВ,,,46.619291,31.544722,2022-7-7,1657152000000
Артилерія та РСЗВ,,,46.717996,31.709332,2022-7-7,1657152000000
Артилерія та РСЗВ,,,46.959077,32.011807,2022-7-7,1657152000000
Артилерія та РСЗВ,,,47.307953,32.846669,2022-7-7,1657152000000
Артилерія та РСЗВ,,,47.307953,32.846669,2022-7-8,1657238400000
Артилерія та РСЗВ,,,47.32143,32.91042,2022-7-7,1657152000000
Артилерія та РСЗВ,,,47.123866,32.621648,2022-7-7,1657152000000
Артилерія та РСЗВ,,,46.824849,32.141298,2022-7-7,1657152000000
Артилерія та РСЗВ,,,46.80328,31.954482,2022-7-7,1657152000000
Артилерія та РСЗВ,,,46.97565,32.127128,2022-7-7,1657152000000
Артилерія та РСЗВ,,,47.314146,32.453223,2022-7-8,1657238400000
Артилерія та РСЗВ,,,47.246213,33.021857,2022-7-8,1657238400000
